Entrantes,Espera,Desbordes,Transferencias,Contestadas,Contestadas20seg,Contestadas15seg,Abandonadas,TiempoConversacion,TiempoEspera
32682,12616,12101,7343,31738,27079,26766,944,10664968,1348556
29696,11306,11741,6591,29021,25532,25199,675,9704525,1157059
18366,6931,6384,4209,17838,15829,15668,528,6053948,727562
13926,5497,4213,3376,13511,12273,12186,415,4470187,552091
34203,12946,12072,7542,33054,27030,26658,1149,11344828,1396828
34297,12867,11870,7818,33431,28456,28068,866,11013143,1291389
34110,13027,12817,7824,32684,26499,26137,1426,11093837,1308429
32075,12254,12723,7344,31197,26976,26614,878,10475989,1288079
27509,10226,11241,5979,26879,23849,23577,630,8837477,1097432
19037,7262,7046,4287,18346,16255,16140,691,6162738,742973
14970,5864,4425,3672,14499,12878,12770,471,4854192,534345
34336,12817,12993,7627,33435,28788,28483,901,11122863,1219768
32882,12240,12755,7118,32000,27567,27255,882,10791284,1156498
33469,11924,11525,7010,31988,26076,25668,1481,10232849,1226181
32880,11970,12440,7030,32137,28351,28014,743,10282878,1194576
30571,11185,11286,6394,29745,25286,24926,826,9744774,1151539
20626,7784,6322,4628,19958,17065,16862,668,6523399,792485
17530,6917,6116,4115,16640,13686,13529,890,5431402,711075
25352,9920,9167,5943,24563,21270,21050,789,8063075,1012491
38109,13919,13004,8046,35516,27629,27207,2593,11488316,1407161
37892,13876,11845,8414,34535,28855,28513,3357,11360034,1338451
35211,13282,12277,7770,33808,28921,28598,1403,11566182,1321316
33459,12071,11906,7221,31291,27480,27195,2168,10366577,1086108
22782,8262,7780,4910,21137,17561,17377,1645,7052939,819089
15526,5975,5469,3699,14872,12685,12547,654,4856274,528710
25535,9851,7466,6048,24346,21324,21119,1189,7805091,946998
37116,13471,12068,8038,34684,29731,29384,2432,11392831,1299474
35427,13250,12085,7730,33725,28755,28390,1702,11346718,1335196
34273,12833,12100,7580,33238,28461,28107,1035,11091144,1217962
32699,12181,11802,7130,31836,27658,27288,863,10521648,1195477
19463,7245,6339,4399,18838,16738,16585,625,6233251,672397
15945,6055,4850,3811,15062,13124,13014,883,4957464,506208
36184,13595,13000,8252,34815,29457,29048,1369,11497177,1227735
